Id,INN,Name,ReportDate,1110,1150,2110
1,100000000,Client_0,2018-12-31,7370,960,5490
2,100000000,Client_0,2019-03-31,5291,5834,6365
3,100000000,Client_0,2019-06-30,566,4526,5678
4,100000000,Client_0,2019-09-30,8422,1785,869
5,100000000,Client_0,2019-12-31,7049,2533,5411
6,100000000,Client_0,2020-03-31,5151,6520,1284
7,100000000,Client_0,2020-06-30,4655,3485,6496
8,100000000,Client_0,2020-09-30,8766,9374,2658
9,100000000,Client_0,2020-12-31,7949,2147,2847
10,100000000,Client_0,2021-03-31,9267,289,2834
11,100000000,Client_0,2021-06-30,3105,4758,1999
12,100000000,Client_0,2021-09-30,7834,1367,1628
13,100000001,Client_1,2018-12-31,3656,3990,8938
14,100000001,Client_1,2019-03-31,5493,8892,8533
15,100000001,Client_1,2019-06-30,7613,2712,7141
16,100000001,Client_1,2019-09-30,9655,6335,5586
17,100000001,Client_1,2019-12-31,7199,9770,875
18,100000001,Client_1,2020-03-31,8326,3252,1685
19,100000001,Client_1,2020-06-30,4043,7655,3173
20,100000001,Client_1,2020-09-30,1121,3943,8089
21,100000001,Client_1,2020-12-31,9792,6973,5775
22,100000001,Client_1,2021-03-31,261,4397,1095
23,100000001,Client_1,2021-06-30,7729,9567,1116
24,100000001,Client_1,2021-09-30,7969,6539,7992
25,100000002,Client_2,2018-12-31,6963,8016,8629
26,100000002,Client_2,2019-03-31,978,9368,4987
27,100000002,Client_2,2019-06-30,4959,6431,8671
28,100000002,Client_2,2019-09-30,8784,7308,5376
29,100000002,Client_2,2019-12-31,2162,164,8106
30,100000002,Client_2,2020-03-31,2668,5563,2127
31,100000002,Client_2,2020-06-30,2795,9787,5358
32,100000002,Client_2,2020-09-30,5718,6836,491
33,100000002,Client_2,2020-12-31,5992,3661,6284
34,100000002,Client_2,2021-03-31,3199,6378,8492
35,100000002,Client_2,2021-06-30,3204,7315,2554
36,100000002,Client_2,2021-09-30,9096,2831,8254
37,100000003,Client_3,2018-12-31,9862,5156,8210
38,100000003,Client_3,2019-03-31,3940,1128,7485
39,100000003,Client_3,2019-06-30,602,7010,9162
40,100000003,Client_3,2019-09-30,7038,4588,306
41,100000003,Client_3,2019-12-31,5234,6077,7821
42,100000003,Client_3,2020-03-31,7135,1584,7958
43,100000003,Client_3,2020-06-30,963,2890,7508
44,100000003,Client_3,2020-09-30,8855,5216,6119
45,100000003,Client_3,2020-12-31,1857,7674,6474
46,100000003,Client_3,2021-03-31,6992,1778,3342
47,100000003,Client_3,2021-06-30,4736,1159,6768
48,100000003,Client_3,2021-09-30,3257,6015,9889
49,100000004,Client_4,2018-12-31,2793,3727,9655
50,100000004,Client_4,2019-03-31,5550,1763,9821
51,100000004,Client_4,2019-06-30,5692,7492,1406
52,100000004,Client_4,2019-09-30,6876,5964,9574
53,100000004,Client_4,2019-12-31,7626,9001,5675
54,100000004,Client_4,2020-03-31,5630,4513,3848
55,100000004,Client_4,2020-06-30,763,2098,8094
56,100000004,Client_4,2020-09-30,1595,3404,3863
57,100000004,Client_4,2020-12-31,5332,1953,6685
58,100000004,Client_4,2021-03-31,1391,3681,7654
59,100000004,Client_4,2021-06-30,7380,1736,3796
60,100000004,Client_4,2021-09-30,798,4837,954
61,100000005,Client_5,2018-12-31,8264,5955,7492
62,100000005,Client_5,2019-03-31,6628,5349,5272
63,100000005,Client_5,2019-06-30,1807,5891,5635
64,100000005,Client_5,2019-09-30,5031,3610,302
65,100000005,Client_5,2019-12-31,4318,9058,4489
66,100000005,Client_5,2020-03-31,2427,8104,3031
67,100000005,Client_5,2020-06-30,7877,297,7225
68,100000005,Client_5,2020-09-30,2030,6387,8900
69,100000005,Client_5,2020-12-31,9439,4382,2611
70,100000005,Client_5,2021-03-31,759,2911,7198
71,100000005,Client_5,2021-06-30,6646,9661,2086
72,100000005,Client_5,2021-09-30,8438,3011,1834
73,100000006,Client_6,2018-12-31,1943,8780,3076
74,100000006,Client_6,2019-03-31,2059,5859,6794
75,100000006,Client_6,2019-06-30,2485,4836,1902
76,100000006,Client_6,2019-09-30,8255,8220,6716
77,100000006,Client_6,2019-12-31,5634,4161,362
