INN,DefaultType,DefaultDate
100000052,Событие 1,2020-08-20
100000050,Событие 3,2021-04-30
100000130,Событие 2,2020-11-19
100000085,Событие 3,2020-11-18
100000068,Событие 3,2021-05-13
100000110,Событие 2,2019-12-07
100000067,Событие 3,2020-05-13
100000080,Событие 2,2019-01-23
100000036,Событие 1,2020-05-08
100000107,Событие 3,2021-04-16
100000042,Событие 1,2021-01-30
100000125,Событие 3,2019-02-08
100000093,Событие 3,2020-09-28
100000094,Событие 3,2021-06-15
100000141,Событие 2,2019-03-15
100000026,Событие 1,2020-11-02
100000032,Событие 3,2021-05-13
100000031,Событие 2,2019-09-05
100000121,Событие 3,2020-03-24
100000102,Событие 2,2020-02-05
100000045,Событие 3,2021-08-16
100000064,Событие 1,2020-04-27
100000095,Событие 1,2020-07-13
100000021,Событие 3,2020-01-24
100000049,Событие 2,2019-08-10
100000006,Событие 3,2019-01-23
100000148,Событие 2,2019-12-29
100000137,Событие 3,2021-08-15
100000114,Событие 2,2021-02-06
100000132,Событие 1,2019-07-08
100000043,Событие 3,2020-11-17
100000055,Событие 1,2020-05-10
100000011,Событие 1,2020-07-04
100000035,Событие 3,2019-05-21
100000077,Событие 3,2019-06-16
100000071,Событие 2,2020-11-10
100000010,Событие 2,2021-06-17
100000073,Событие 1,2020-11-17
100000127,Событие 2,2021-07-11
100000118,Событие 2,2020-05-10
100000007,Событие 3,2021-05-12
100000129,Событие 2,2019-06-16
100000075,Событие 1,2019-02-28
100000122,Событие 2,2020-01-05
100000081,Событие 1,2020-07-29
100000135,Событие 3,2020-09-04
100000139,Событие 1,2019-02-08
100000012,Событие 2,2021-09-24
100000028,Событие 3,2019-05-30
100000001,Событие 2,2021-02-16
